codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras
4915-502-0900,56.66,1,Capa de proteção,RE232,1,10,3.25,84249090,886661397020
4925-500-0840,607.96,1,Mangueira de alta pressão DN06 10 m,RE230 RE232,1,0,6.5,40093210,795711693473
4925-500-0841,1017.45,1,Mangueira de alta pressão DN06 20 m,RE230 RE232,1,10,6.5,40091290,795711693480
4925-500-1800,980.61,1,Dispositivo de jateamento com líquido 05,RE232,1,10,3.25,84249090,795711693541
4925-500-3811,224.1,1,Bico leque,RE230 RE232 - 220V,1,10,3.25,84249090,886661066810
4925-500-5900,1163.76,1,Escova rotativa,RE230 RE232,1,10,3.25,84249090,795711693329
4925-500-6701,131.36,1,Conexão,RE230 RE232,1,10,0.0,39174090,795711924164
4925-500-8304,696.16,1,Bico do rotor com lança de jatear W12,RE230 RE232,1,10,3.25,84249090,795711693411
4925-500-8401,372.9,1,"Lança jatear curva c/capa do bico,950 mm",RE230 RE232,1,10,3.25,84249090,795711826024
4925-500-9600,219.0,1,Bico de espuma,Recipientes de 1 litro com jato regulávelRE230,1,10,3.25,84249090,886661151837
4950-790-5400,62.15,1,Suporte para mangueira plana,RE110,1,10,3.25,84249090,886661832040
5203-200-0010,4399.01,1,USG Afiador completo 220 V/60 Hz,,3,0,0.0,84603900,886661621576
5203-200-0011,4399.01,1,USG Afiador completo 127 V/60 Hz,,5,0,0.0,84603900,886661621583
5203-750-1000,2011.55,1,USG Cj. afiador de corrente,Não acompanha motor elétrico e suporte giratório,1,0,0.0,84603900,795711095390
5203-750-1400,1584.73,1,Suporte giratório,USG,1,0,0.0,84669350,795711115166
5203-750-2800,907.07,1,Suporte giratório para lâminas circulare,USG,1,0,0.0,84669350,795711115197
5203-750-7018,140.43,1,Rebolo perfilado Hexa,,1,0,0.0,68042290,886661618866
5203-757-0901,1126.84,1,"Rebolo perfilado de diamante Ø125/12 R2,",KIT Resgate MS460,1,10,0.0,68042119,795711115203
6235-710-4305,57.52,1,Carretel com rosca,Cj.corte nylon- FSE41,1,10,5.2,84679900,795711112127
6906-710-0922,1432.23,1,Kit rodas de ferro  AMR 060.0,MH610,1,0,3.25,84329000,886661516773
6906-710-0924,2088.45,1,Kit rodas de ferro AMR 070.0,MH710,1,0,3.25,84329000,886661516872
6906-740-1401,1133.04,1,Roda ART 012.0,MH610,1,0,3.25,84329000,886661356621
6906-820-2200,324.45,1,Adaptador para transporte de estrela tri,MH610,1,0,3.25,84329000,886661525553
6909-007-1085,468.03,1,Kit para cortador de grama RMA 370,RMA370,1,10,5.2,84679900,795711941383
6909-400-4300,2289.0,1,Adaptador para compartimento duplo da ba,ADA 100,1,10,3.25,84149020,795711995195
EA01-400-6503,4429.0,1,AP 500 S Bateria,,1,0,11.25,85076000,886661870035
EA02-400-6500,189.0,1,AS 2 Bateria,HSA26 GTA26,1,0,11.25,85076000,886661915415
EA03-430-2508,189.0,1,"AL 1, 220 - 240 V Carregador",HSA26 GTA26,1,10,5.0,85044010,886661870417
EA03-430-2509,189.0,1,"AL 1, 100 - 127 V Carregador",HSA26 GTA26,1,10,5.0,85044010,886661933914
EA03-430-5708,449.0,1,"AL 5, 220 V Carregador rápido de bateria",HSA50.1,1,10,5.0,85044010,795711882471
EA03-430-5709,449.0,1,"AL 5, 127 V Carregador rápido de bateria",HSA50.1,1,10,5.0,85044010,795711882495
EA09-430-5508,669.0,1,"AL 301, 220 V Carregador",Carregador de bateria 220V,1,10,5.0,85044010,886661614363
EA09-430-5509,669.0,1,"AL 301, 127 V Carregador",Carregador de bateria 127V,1,10,5.0,85044010,886661614448
EA09-430-5708,1249.0,1,"AL 501, 220 V Carregador rápido de",,1,10,5.0,85044010,795711997991
EA09-430-5709,1249.0,1,"AL 501, 127 V Carregador rápido de",,1,10,5.0,85044010,795711998035
EA11-430-5708,1229.0,1,"AL 5-2, 220 V Carregador rápido de",HSA50.1,1,10,5.0,85044010,795711882976
EA11-430-5709,1229.0,1,"AL 5-2, 127 V Carregador rápido de",HSA50.1,1,10,5.0,85044010,795711882990
GA01-490-1700,223.64,1,Estojo,GTA26,1,0,6.5,42029200,886661475568
GA01-820-5000,565.94,1,Extensão GTA 26,,1,10,5.2,84679100,795711864491
HA01-007-1000,234.47,1,Jogo pé de suporte,HTA50,1,10,5.2,84679900,886661926459
HA01-820-5000,273.96,1,"Extensão 0,5 m",HLA56,1,10,5.2,84679900,886661858514
HA03-710-7100,341.66,1,Haste telescópica,HSA26,1,10,5.2,84679900,886661937608
LA01-007-1002,166.08,1,Jogo pé de suporte,HTA 135.0,1,10,5.2,84679100,886661595891
LA02-820-5000,273.96,1,"Extensão 0,5 m",HTA50,1,10,5.2,84679100,886661879632
RA02-500-5900,319.04,1,Escova rotativa,RCA20,1,10,3.25,84249090,886661427147
SA03-007-1000,120.47,1,Jogo Mini bicos,SEA 20.0,1,0,6.5,85087000,886661747474
SA03-080-1900,59.48,1,Filtro,SEA20,1,0,0.0,84213990,886661596652
SA03-500-2700,43.36,1,Tubeira para o solo,SEA20,1,0,6.5,85087000,886661690466
SA04-500-9000,104.12,1,Saco do filtro,SEA100,1,0,3.25,59119000,198520015472
SE01-500-9000,104.12,1,Saco do filtro,SE33,1,0,3.25,59119000,886661506941
SE01-500-9000,104.12,1,Saco do filtro,SE33,1,0,3.25,59119000,886661506941
SE01-500-9000,104.12,1,Saco do filtro,SE33,1,0,3.25,59119000,886661506941
SE01-703-5900,138.14,1,Filtro,SE33,1,0,0.0,84213990,886661510528
SE01-703-5900,138.14,1,Filtro,SE33,1,0,0.0,84213990,886661510528
SE01-703-5900,138.14,1,Filtro,SE33,1,0,0.0,84213990,886661510528
