codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras
0463-902-1082,212.64,1,Bota marrom Zebu nr. 37,Linha Promocional,0,0,0.0,64059000,886661222995
0463-902-1100,199.5,1,Camisa xadrez manga longa P (Trad.),,0,0,0.0,62052000,886661431441
0463-902-1101,199.5,1,Camisa xadrez manga longa M (Trad.),,0,0,0.0,62052000,886661431465
0463-902-1102,199.5,1,Camisa xadrez manga longa G (Trad.),,0,0,0.0,62052000,886661431472
0463-902-1103,199.5,1,Camisa xadrez manga longa GG (Trad.),,0,0,0.0,62052000,886661431496
0463-902-1104,199.5,1,Camisa xadrez manga longa XGG (Trad.),,0,0,0.0,62052000,886661431502
0463-902-1105,178.5,1,Camisa xadrez manga curta P (Trad.),,0,0,0.0,62052000,886661431526
0463-902-1106,178.5,1,Camisa xadrez manga curta M (Trad.),,0,0,0.0,62052000,886661431533
0463-902-1107,178.5,1,Camisa xadrez manga curta G (Trad.),,0,0,0.0,62052000,886661431557
0463-902-1108,178.5,1,Camisa xadrez manga curta GG (Trad.),,0,0,0.0,62052000,886661431564
0463-902-1109,178.5,1,Camisa xadrez manga curta XGG (Trad.),,0,0,0.0,62052000,886661431588
0463-902-1110,288.75,1,Bota c/ detalhe laranja nr.37,,0,0,0.0,64039190,886661431595
0463-902-1111,288.75,1,Bota c/ detalhe laranja nr.38,,0,0,0.0,64039190,886661431618
0463-902-1112,288.75,1,Bota c/ detalhe laranja nr.39,,0,0,0.0,64039190,886661431625
0463-902-1113,288.75,1,Bota c/ detalhe laranja nr.40,,0,0,0.0,64039190,886661431632
0463-902-1114,288.75,1,Bota c/ detalhe laranja nr.41,,0,0,0.0,64039190,886661431663
0463-902-1115,288.75,1,Bota c/ detalhe laranja nr.42,,0,0,0.0,64039190,886661431670
0463-902-1116,288.75,1,Bota c/ detalhe laranja nr.43,,0,0,0.0,64039190,886661431687
0463-902-1117,288.75,1,Bota c/ detalhe laranja nr.44,,0,0,0.0,64039190,886661431694
0463-902-1190,164.85,1,Bolsa térmica grande,,0,0,0.0,42022210,886661431700
