codigo_antigo,codigo_novo,descricao,data_alteracao,unnamed_7
1125-080-1803,1125-080-1811,Carcaça do ventilador,2000-02-04,
1125-080-1811,1125-080-1813,Carcaça do ventilador,2000-02-04,
1125-080-1812,1125-080-1830,"Carc/ventilador de magnésio,aço,plástico",2010-07-30,
1125-080-1813,1125-080-1830,"Carc/ventilador de magnésio,aço,plástico",2000-02-04,
1125-080-1818,1125-080-1830,"Carc/ventilador de magnésio,aço,plástico",2006-04-10,
1125-080-1819,1125-080-1818,Carcaça do ventilador,2006-04-10,
1125-080-2103,1125-080-2105,"Carc/ ventil/ de magnésio,aço,poliamida",2009-04-14,
1125-080-2104,1125-080-2103,Carcaça do ventilador c/disp/ arranque,2009-04-14,
1128-080-2107,1128-080-2104,Carcaça do ventilador c/disp/ arranque,1998-06-08,
1125-120-0600,1125-120-0611,Carburador de alumínio C3A-S19,2014-04-23,
1125-120-0611,1125-120-0606,Carburador de alumínio C3A-S19,2014-04-23,
1125-120-0613,1125-120-0614,Carburador C3A-S65A,1998-11-03,
1125-121-5100,4116-121-5100,Agulha de admissão,1997-05-23,
1125-121-4802,1128-121-4802,Membrana da bomba,1997-09-16,
1125-121-0800,1125-121-0802,Tampa de fechamento,1999-02-19,
1125-121-5405,1125-121-5410,Injetor da válvula 0/65,2014-03-09,
1125-122-9002,1125-122-9003,Arruela de segurança,1999-02-19,
1125-123-7505,1125-123-7506,Luva,1997-08-15,
1125-140-0610,1125-007-1034,Silenciador,1994-09-23,
1125-140-1900,1125-140-1903,Tampa do filtro,1997-04-14,
1125-145-0700,1125-145-0702,Escapamento de entrada,2011-11-30,
1125-145-0800,1125-145-0801,Escapamento de saída,2017-05-10,
1125-145-0801,1125-145-0806,Escapamento de saída,2017-05-10,
1125-160-2000,1125-160-2001,Embreagem,2010-07-30,
1125-160-2001,1127-160-2050,Embreagem,2010-11-08,
1125-160-2002,1125-160-2005,Embreagem,2010-07-16,
1125-160-2005,1125-160-2006,Embreagem,2003-11-10,
1125-160-2051,1125-160-2052,Embreagem,2010-07-30,
1125-162-0805,1125-162-0801,Contrapeso centrífugo,2014-03-13,
1125-162-3205,1125-162-3201,Arrastador de aço,2011-09-01,
1125-162-8001,1125-162-8002,Mangueira 20 mm,2016-05-01,
1125-182-0900,1125-182-0901,Interruptor combinado,1998-08-14,
1125-182-1500,1125-182-1502,Tirante do acelerador,1998-09-16,
1125-185-2000,1125-185-2001,Tirante do afogador,2010-07-30,
1125-185-2001,1125-185-2002,Tirante do afogador,1996-11-05,
1125-350-0800,1125-350-0813,Carcaça do tanque,2010-07-30,
1125-350-0813,1125-350-0818,"Carc/ tanque de poliamida, aço, borracha",2010-07-30,
1125-358-9500,1125-358-1000,Grampo,1998-10-26,
1125-400-1303,0000-400-1305,Módulo de ignição,2010-07-30,
1125-400-1308,0000-400-1305,Módulo de ignição,2010-07-30,
1125-442-1600,1121-442-1600,Mola de contato,2006-04-10,
1125-448-1200,1125-448-1201,Porta-cabos,1998-02-16,
1125-448-1201,0000-448-1250,Porta-cabos,1997-03-18,
1125-640-1700,1125-640-1701,Tampa do pinhão da corrente de magnésio,1999-02-19,
1125-640-3206,1125-640-3201,Bomba de óleo,1999-02-19,
1125-640-7100,1125-640-7110,Sem-fim,1997-09-16,
1125-640-9400,1124-007-1010,Jogo mangueira de óleo,1988-01-20,
1125-647-8200,,,NaT,
1125-647-0603,1125-647-0602,Êmbolo da bomba,2015-12-03,
1125-656-1500,1125-656-1501,Peça de sujeição de borracha,1997-08-15,
1125-656-7700,1125-650-7700,Segurança da corrente,2010-11-08,
1125-664-2200,1122-664-2200,Chapa defletora,1997-10-02,
1125-790-1705,1125-790-1709,Cabo do punho com mangueira,2007-08-08,
1125-790-1709,1125-790-1751,Tubo do punho,2012-07-02,
1127-020-1201,1127-020-1213,Cilindro com pistão Ø 49 mm,1998-03-17,
