codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras
1254-791-1700,77.95,1,Tubo do punho,MSA120 MSA140,1,10,5.2,84679100,886661116843
1254-791-3101,4.47,3,Mola,MSA120 MSA140,1,10,9.75,73209000,886661367061
3003-650-2551,133.25,1,"Cabeça do sabre 3/8"" 11Z 1,6",Novos Sabres Rollomatic Super - 32 40 50,3,10,5.2,84679100,795711095208
3003-650-6501,2237.99,1,Limiteur de profondeur de coupe,KitResgasteMS460,1,10,5.2,84679100,795711330071
3003-650-9922,85.09,1,"Estrela reversora 3/8"" 10Z 1,6",MS361 MS381,1,10,0.0,84839000,795711097028
3003-650-9935,85.09,1,"Estrela reversora 3/8 11Z 1,6",Novos Sabres Rollomatic Super - 32 40 50,1,10,0.0,84839000,795711097066
3003-655-9200,13.7,1,Arruela separadora,MS460,1,10,6.5,73182900,795711527228
3005-650-9903,85.09,1,"Estrela reversora 9d 1,3",MS011 MS025,1,10,0.0,84839000,795711097080
3132-007-1000,16.1,1,"Cjto dente de corte direito 3/8"" RH",,1,10,5.2,82024000,886661729654
3132-007-1001,33.83,1,"Cjto dente de corte esquerdo 3/8"" RH",Corrente 36RH,1,10,5.2,82024000,886661729661
3132-660-6000,8.83,1,"Kit peças da corrente 3/8"" Hexa",Corrente 36RH,1,10,5.2,82024000,886661729678
3522-660-6000,91.06,1,"Kit peças da corrente 3/8"" 35RM","Kit peças da corrente 3 8"" 35RM (20 elos de ligação com rebite e 20 elosde ligação)",0,10,0.0,82024000,886661845071
3610-660-6000,14.88,1,"Kit peças da corrente 3/8"" PMM (9 pares)",61 PMMC3 PICCO MICRO (MS170 180 192T HT75),1,10,5.2,82024000,795711528263
3615-660-6000,86.72,1,"Kit peças da corrente 3/8"" PMY",,1,10,5.2,82024000,886661051434
3621-007-1000,17.72,1,"Jogo 3/8"" RS dente de corte direito",Corrente 36RS,1,10,5.2,82024000,795711527815
3621-007-1001,17.36,1,"Jogo 3/8"" RS dente de corte esquerdo",Corrente 36RS,1,10,5.2,82024000,795711527822
3636-007-1000,13.5,1,"Jogo 3/8"" PM dente de corte direito",,1,10,5.2,82024000,795711528461
3636-007-1001,13.5,1,"Jogo 3/8"" PM dente de corte esquerdo",,1,10,5.2,82024000,795711528515
3636-662-1050,20.25,1,"Jogo peças do elo de tração 3/8"" P 1,3",DT INTROD.: 09 2024,1,10,5.2,82024000,886661762200
3639-007-1000,16.95,1,"Jogo .325"" RS dente de corte direito",MS260,1,10,5.2,82024000,795711352202
3639-007-1001,16.95,1,"Jogo .325"" RS dente de corte esquerdo",MS260,1,10,5.2,82024000,795711528669
3639-662-1050,4.06,1,"Elo de tração .325"" R 1,6",,1,10,5.2,82024000,886661749836
3652-007-1000,19.74,1,"Jogo 3/8"" RM dente de corte direito",Corrente 36RM,1,10,5.2,82024000,795711551520
3652-007-1001,19.74,1,"Jogo 3/8"" RM dente de corte esquerdo",Corrente 36RM,1,10,5.2,82024000,795711551711
3669-660-6000,23.28,1,"Kit peças da corrente 1/4"" Picco",MSA160 MSA200,1,10,0.0,84839000,795711690854
3669-662-1050,5.24,1,"Jogo peças do elo de tração 1/4"" PM 1,1",1 4 P - Contém 10 elos de tração,1,10,5.2,82024000,886661160631
3669-662-1150,4.39,1,Jogo peças do elo de tração de segurança,1 4 P - Contém 10 elos de tração de segurança,1,10,5.2,82024000,886661160648
3673-007-1000,21.67,1,"Jogo 3/8"" RSL dente de corte direito",,1,10,5.2,82024000,795711981587
3673-007-1001,21.67,1,"Jogo 3/8"" RSL dente de corte esquerdo",,1,10,5.2,82024000,795711981594
3686-660-6000,13.31,1,"Kit peças da corrente .325""",MS260 (Elo de ligação com e sem rebite 8 peças),1,10,5.2,82024000,886661135028
3698-662-1050,2.13,1,"Elo de tração 3/8"" P 1,1",MS170 MS180 MS192T HT75 HT131 - 3 HT8 P - Contém 10 elos de tração,1,10,5.2,82024000,795711894221
3725-662-1050,3.57,1,"Jogo peças do elo de tração 3/8"" R 1,6",,1,10,5.2,82024000,886661160754
3824-660-6020,15.19,2,"Kit peças da corrente 3/8""",,1,10,5.2,82024000,795711528355
3833-662-1050,5.92,1,"Jogo peças do elo de tração 3/8"" R 1,3",,1,10,5.2,82024000,886661160723
3844-662-1050,3.72,1,"Jogo peças do elo de tração 3/8"" R 1,5",,1,10,5.2,82024000,886661160747
3994-662-4001,144.37,1,Elo de ligação esquerdo com três ressalt,MS460 Kit Resgate,1,10,5.2,82024000,795711552022
3997-660-6020,14.02,1,"Kit peças da corrente 3/8"" PM",63 PM PICCO MICRO (MSE160),1,10,5.2,82024000,795711552138
4000-007-4408,74.41,1,Jogo de ferramentas para roçadeira GC,FS55 FS55R,1,10,5.2,82055900,886661747702
4001-007-4400,41.48,1,Jogo de ferramentas para roçadeira GC BC,,5,10,0.0,84839000,886661408320
4001-007-4401,76.33,1,Jogo de ferramentas para roçadeira GC WC,PROJETO 4147,5,10,0.0,84839000,886661408337
4002-710-3601,54.49,1,Carcaça da bobina,STIHL INC INTR.01 08 2020,1,10,5.2,84679900,886661948260
4002-710-9601,102.75,1,Prato superior,FS85,1,10,5.2,84679900,795711537845
4002-710-9603,95.3,1,Prato superior,AutoCut C 26-2,1,10,5.2,84679900,886661165018
4002-710-9615,96.13,1,Prato superior,FS85 FS85R,1,10,5.2,84679900,795711538071
4002-710-9701,103.58,1,Prato inferior,POLYCUT,1,10,5.2,84679900,886661538065
4002-713-3003,42.38,1,Carretel,FS85 KA85R,1,10,7.8,84835010,795711553326
4002-713-3015,22.03,1,Carretel,FS85 FS85R,1,10,7.8,84835010,795711552763
4002-713-3016,38.34,5,Carretel,FS85 FS86 FS88 FS108 FS160 FS220 FR85 FR106 FR108,1,10,7.8,84835010,795711552701
4002-713-3017,33.4,1,Carretel,Peças AutoCut 25-2,1,10,5.2,84679900,795711552800
4002-713-3400,6.39,1,Grampo,FS85 FS85R,1,10,5.2,84679900,795711552817
4002-713-3602,38.84,1,Carcaça da bobina,Trincut 31-2 41-2,1,10,5.2,84679900,795711552411
4002-713-6501,34.55,1,Parafuso com colar,FS44 FS160 FS220 FS280,1,10,6.5,73181500,795711552879
