unnamed_1,unnamed_2,unnamed_3,codigo_material,preco_real,descricao,qtde_min,bateria_recomendada,kit,tensao_carregador,tensao_nominal_bateria_v,sabres_cm,corrente,velocidade_da_corrente_m_s,peso_kg,s,t,ipi,ncm_classif_fiscal,cod_barras
,,,EA03-430-2508,189.0,"AL 1, 220 - 240 V Carregador",1.0,220 V,,,,,,,7.0,1.0,10.0,5.0,85044010.0,886661870417.0
,,,EA03-430-5708,449.0,"AL 5, 220 V Carregador rápido de bateria",1.0,220 V,,100% da recarga da bateria AS 2 em 50 minutos,,,,,624.0,1.0,10.0,5.0,85044010.0,795711882471.0
,,,EA03-430-5709,449.0,"AL 5, 127 V Carregador rápido de bateria",1.0,110 V,,,,,,,63.0,1.0,10.0,5.0,85044010.0,796000000000.0
,,,EA11-430-5708,1229.0,"AL 5-2, 220 V Carregador rápido de bateria",1.0,220 V,,,,,,,984.0,1.0,10.0,5.0,85044010.0,795711882976.0
,,,EA11-430-5709,1229.0,"AL 5-2, 127 V Carregador rápido de bateria",1.0,110 V,,,,,,,984.0,1.0,10.0,5.0,85044010.0,795711882990.0
,,,4520-400-6530,519.0,AK 10 Bateria,1.0,1.6,,54,Linha a bateria AK SYSTEM,,,,,1.0,0.0,1125.0,85076000.0,886661575527.0
,,,4520-400-6535,799.0,AK 20 Bateria,1.0,4,,144,,,,,,1.0,0.0,1125.0,85076000.0,886661575565.0
,,,4520-400-6545,1189.0,AK 30.0 S Bateria,1.0,5,,180,,,,,,1.0,0.0,1125.0,85076000.0,886661575640.0
,,,4850-430-2529,279.0,"AL 101, 127 V Carregador",1.0,127V,,Pode ser utilizado com as bateria da linha AK e AP SYSTEM,,,,,,1.0,10.0,5.0,85044010.0,886661257805.0
,,,4850-430-2528,279.0,"AL 101, 220 V Carregador",1.0,220V,,,,,,,,1.0,10.0,5.0,85044010.0,886661257782.0
,,,4850-400-6568,2419.0,AP 200.0 S Bateria,1.0,5.2,,187,Linha a bateria AP SYSTEM,,,,,1.0,0.0,1125.0,85076000.0,886661561254.0
,,,4850-400-6578,2729.0,AP 300.0 S Bateria,1.0,7.8,,281,,,,,,1.0,0.0,1125.0,85076000.0,886661025794.0
,,,EA01-400-6503,4429.0,AP 500 S Bateria,1.0,9.4,,337,,,,,,1.0,0.0,1125.0,85076000.0,886661870035.0
,,,4850-440-5101,115919.0,Bolsa de Cintura AP com cabo elétrico,1.0,Acessórios para bateria AP,,,,,,,,1.0,10.0,5.0,85444200.0,886661512232.0
,,,4850-491-0101,1989.0,Bolsa bateria AP,1.0,,,,,,,,,1.0,0.0,65.0,42029200.0,795711854119.0
,,,4850-440-0505,41721.0,Adaptador AP,1.0,,,,,,,,,1.0,0.0,975.0,85366990.0,886661570508.0
,,,4850-490-0500,3674.0,Cinto para baterias com cinto de suporte,1.0,,,,,,,,,1.0,0.0,0.0,63079090.0,886661635689.0
